date,tweets,increase,country
03/28/2020,3751,154,CN
03/29/2020,3851,100,CN
03/30/2020,3868,17,CN
03/31/2020,3925,57,CN
04/01/2020,3966,41,CN
04/02/2020,3978,12,CN
04/03/2020,4037,59,CN
04/04/2020,4102,65,CN
04/05/2020,4167,65,CN
04/06/2020,4214,47,CN
04/07/2020,4283,69,CN
04/08/2020,4319,36,CN
04/09/2020,4329,10,CN
04/10/2020,4380,51,CN
04/11/2020,4422,42,CN
04/12/2020,4500,78,CN
04/13/2020,4596,96,CN
04/14/2020,4620,24,CN
04/15/2020,4649,29,CN
04/16/2020,4687,38,CN
04/17/2020,4704,17,CN
04/18/2020,4731,27,CN
04/19/2020,4769,38,CN
04/20/2020,4827,58,CN
04/21/2020,4848,21,CN
04/22/2020,4897,49,CN
04/23/2020,4929,32,CN
04/24/2020,4959,30,CN
04/25/2020,4996,37,CN
04/26/2020,5023,27,CN
04/27/2020,5076,53,CN
04/28/2020,5115,39,CN
04/29/2020,5145,30,CN
04/30/2020,5189,44,CN
05/01/2020,5225,36,CN
05/02/2020,5254,29,CN
05/03/2020,5280,26,CN
05/04/2020,5303,23,CN
05/05/2020,5339,36,CN
05/06/2020,5369,30,CN
05/07/2020,5404,35,CN
05/08/2020,5436,32,CN
05/09/2020,5454,18,CN
05/10/2020,5479,25,CN
05/11/2020,5510,31,CN
05/12/2020,5538,28,CN
05/13/2020,5541,3,CN
05/14/2020,5544,3,CN
01/20/2020,1,0,DE
01/23/2020,3,2,DE
01/24/2020,7,4,DE
01/26/2020,8,1,DE
01/27/2020,9,1,DE
01/29/2020,15,6,DE
01/30/2020,17,2,DE
01/31/2020,19,2,DE
02/02/2020,23,4,DE
02/03/2020,25,2,DE
02/04/2020,27,2,DE
02/05/2020,29,2,DE
02/06/2020,30,1,DE
02/07/2020,32,2,DE
02/09/2020,34,2,DE
02/11/2020,36,2,DE
02/12/2020,37,1,DE
02/13/2020,39,2,DE
02/14/2020,40,1,DE
02/18/2020,41,1,DE
02/22/2020,42,1,DE
02/23/2020,45,3,DE
02/24/2020,47,2,DE
02/25/2020,52,5,DE
02/26/2020,54,2,DE
02/27/2020,55,1,DE
02/28/2020,101,46,DE
02/29/2020,120,19,DE
03/01/2020,131,11,DE
03/02/2020,140,9,DE
03/03/2020,150,10,DE
03/04/2020,172,22,DE
03/05/2020,183,11,DE
03/06/2020,200,17,DE
03/07/2020,212,12,DE
03/08/2020,226,14,DE
03/09/2020,235,9,DE
03/11/2020,245,10,DE
03/12/2020,293,48,DE
03/13/2020,399,106,DE
03/14/2020,475,76,DE
03/15/2020,565,90,DE
03/16/2020,668,103,DE
03/17/2020,760,92,DE
03/18/2020,859,99,DE
03/19/2020,964,105,DE
03/20/2020,1056,92,DE
03/21/2020,1167,111,DE
03/22/2020,1274,107,DE
03/23/2020,1330,56,DE
03/24/2020,1407,77,DE
03/25/2020,1471,64,DE
03/26/2020,1526,55,DE
03/27/2020,1583,57,DE
03/28/2020,1711,128,DE
03/29/2020,1822,111,DE
03/30/2020,1838,16,DE
03/31/2020,1880,42,DE
04/01/2020,1893,13,DE
04/02/2020,1923,30,DE
04/03/2020,1979,56,DE
04/04/2020,2050,71,DE
04/05/2020,2121,71,DE
04/06/2020,2174,53,DE
04/07/2020,2223,49,DE
04/08/2020,2227,4,DE
04/09/2020,2230,3,DE
04/10/2020,2286,56,DE
04/11/2020,2335,49,DE
04/12/2020,2379,44,DE
04/13/2020,2426,47,DE
04/14/2020,2448,22,DE
04/15/2020,2488,40,DE
04/16/2020,2533,45,DE
04/17/2020,2572,39,DE
04/18/2020,2622,50,DE
04/19/2020,2660,38,DE
04/20/2020,2707,47,DE
04/21/2020,2760,53,DE
04/22/2020,2810,50,DE
04/23/2020,2856,46,DE
04/24/2020,2892,36,DE
04/26/2020,2942,50,DE
04/27/2020,2990,48,DE
04/28/2020,3031,41,DE
04/29/2020,3079,48,DE
04/30/2020,3137,58,DE
05/01/2020,3178,41,DE
05/02/2020,3212,34,DE
05/03/2020,3241,29,DE
05/05/2020,3270,29,DE
05/06/2020,3313,43,DE
05/07/2020,3336,23,DE
05/08/2020,3369,33,DE
05/09/2020,3402,33,DE
05/10/2020,3435,33,DE
05/11/2020,3466,31,DE
05/12/2020,3499,33,DE
05/14/2020,3507,8,DE
01/20/2020,2,0,GB
01/21/2020,4,2,GB
01/22/2020,10,6,GB
01/23/2020,23,13,GB
01/24/2020,38,15,GB
01/25/2020,57,19,GB
01/26/2020,65,8,GB
01/27/2020,77,12,GB
01/28/2020,79,2,GB
01/29/2020,92,13,GB
01/30/2020,111,19,GB
01/31/2020,138,27,GB
02/01/2020,150,12,GB
02/02/2020,169,19,GB
02/03/2020,187,18,GB
02/04/2020,205,18,GB
02/05/2020,228,23,GB
02/06/2020,256,28,GB
02/07/2020,271,15,GB
02/08/2020,299,28,GB
02/09/2020,309,10,GB
02/10/2020,331,22,GB
02/11/2020,355,24,GB
02/12/2020,379,24,GB
02/13/2020,402,23,GB
